# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
8.452662	1202.618856	392.243169	810.375687
8.466680	1194.512101	385.112481	809.399620
8.480697	1186.473071	378.077261	808.395810
8.494715	1178.501388	371.137026	807.364362
8.508733	1170.596659	364.291273	806.305386
8.522750	1162.758480	357.539486	805.218994
8.536768	1154.986433	350.881133	804.105300
8.550786	1147.280085	344.315664	802.964421
8.564803	1139.638996	337.842518	801.796478
8.578821	1132.062711	331.461117	800.601594
8.592839	1124.550765	325.170871	799.379894
8.606856	1117.102681	318.971175	798.131506
8.620874	1109.717975	312.861413	796.856562
8.634892	1102.396150	306.840956	795.555194
8.648909	1095.136702	300.909162	794.227540
8.662927	1087.939117	295.065379	792.873737
8.676945	1080.802872	289.308944	791.493928
8.690962	1073.727438	283.639182	790.088256
8.704980	1066.712276	278.055409	788.656867
8.718998	1059.756843	272.556932	787.199911
8.733016	1052.860586	267.143048	785.717538
8.747033	1046.022947	261.813044	784.209903
8.761051	1039.243363	256.566201	782.677162
8.775069	1032.521265	251.401792	781.119473
8.789086	1025.856077	246.319079	779.536998
8.803104	1019.247221	241.317322	777.929899
8.817122	1012.694113	236.395770	776.298343
8.831139	1006.196165	231.553668	774.642497
8.845157	999.752786	226.790254	772.962532
8.859175	993.363382	222.104763	771.258619
8.873192	987.027355	217.496421	769.530934
8.887210	980.744106	212.964453	767.779653
8.901228	974.513032	208.508077	766.004954
8.915245	968.333528	204.126508	764.207020
8.929263	962.204991	199.818958	762.386033
8.943281	956.126812	195.584635	760.542177
8.957298	950.098384	191.422744	758.675640
8.971316	944.119100	187.332488	756.786612
8.985334	938.188350	183.313068	754.875282
8.999351	932.305526	179.363681	752.941845
9.013369	926.470020	175.483526	750.986494
9.027387	920.681224	171.671798	749.009427
9.041405	914.938533	167.927692	747.010841
9.055422	909.241339	164.250402	744.990937
9.069440	903.589041	160.639123	742.949917
9.083458	897.981034	157.093049	740.887985
9.097475	892.416719	153.611373	738.805346
9.111493	886.895498	150.193292	736.702207
9.125511	881.416775	146.837999	734.578776
