   465.593048     (  -7.00055075     ,  0.409003675     )
   466.338379     (  -7.03338242     ,  0.411768436     )
   467.083740     (  -7.06601048     ,  0.414125323     )
   467.829071     (  -7.09720278     ,  0.413600892     )
   468.574402     (  -7.12839508     ,  0.413076460     )
   469.319733     (  -7.17094278     ,  0.415016741     )
   470.065063     (  -7.21360588     ,  0.416982174     )
   470.810394     (  -7.25215483     ,  0.422655046     )
   471.555756     (  -7.29001045     ,  0.428952575     )
   472.301086     (  -7.32572556     ,  0.431693584     )
   473.046417     (  -7.36061525     ,  0.433062971     )
   473.791748     (  -7.39236975     ,  0.433216512     )
   474.537079     (  -7.42192411     ,  0.432516545     )
   475.282410     (  -7.45332336     ,  0.432621509     )
   476.027740     (  -7.48694658     ,  0.433696538     )
   476.773102     (  -7.52251673     ,  0.435999453     )
   477.518433     (  -7.56223440     ,  0.440918416     )
   478.263763     (  -7.60139656     ,  0.444714665     )
   479.009094     (  -7.63811827     ,  0.443575084     )
   479.754425     (  -7.67454052     ,  0.442368269     )
   480.499756     (  -7.70542336     ,  0.439917445     )
   481.245087     (  -7.73630619     ,  0.437466651     )
   481.990448     (  -7.77316236     ,  0.443294555     )
   482.735779     (  -7.81055784     ,  0.449869543     )
   483.481110     (  -7.85148382     ,  0.453144282     )
   484.226440     (  -7.89338684     ,  0.455505401     )
   484.971771     (  -7.92750120     ,  0.457666844     )
   485.717102     (  -7.95740557     ,  0.459720343     )
   486.462463     (  -7.98928595     ,  0.459009945     )
   487.207794     (  -8.02302551     ,  0.455697805     )
   487.953125     (  -8.05811882     ,  0.455538690     )
   488.698456     (  -8.09541225     ,  0.460500836     )
   489.443787     (  -8.13063622     ,  0.464069873     )
   490.189117     (  -8.15955448     ,  0.463392437     )
   490.934448     (  -8.18978119     ,  0.463324845     )
   491.679810     (  -8.23027229     ,  0.468045145     )
   492.425140     (  -8.27076435     ,  0.472765446     )
   493.170471     (  -8.30905819     ,  0.472927511     )
   493.915802     (  -8.34730530     ,  0.472991914     )
   494.661133     (  -8.38276577     ,  0.473658293     )
   495.406464     (  -8.41771507     ,  0.474435091     )
   496.151825     (  -8.45894241     ,  0.471749872     )
   496.897156     (  -8.50272083     ,  0.467657387     )
   497.642487     (  -8.54231453     ,  0.470414430     )
   498.387817     (  -8.57883739     ,  0.478194028     )
   499.133148     (  -8.61285973     ,  0.486848027     )
   499.878479     (  -8.64373589     ,  0.496601850     )
   500.623810     (  -8.67529583     ,  0.500975788     )
   501.369171     (  -8.70838833     ,  0.493315786     )
   502.114502     (  -8.74285889     ,  0.487299949     )
   502.859833     (  -8.78382874     ,  0.489040256     )
   503.605164     (  -8.82413006     ,  0.490567118     )
   504.350494     (  -8.84878063     ,  0.487094820     )
   505.095825     (  -8.87343121     ,  0.483622521     )
   505.841156     (  -8.91286373     ,  0.488379955     )
   506.586517     (  -8.95381355     ,  0.493982196     )
   507.331848     (  -8.98868942     ,  0.497725725     )
   508.077179     (  -9.02177906     ,  0.500922978     )
   508.822510     (  -9.05777073     ,  0.501026928     )
   509.567841     (  -9.09540272     ,  0.499382287     )
   510.313171     (  -9.13243675     ,  0.500736117     )
   511.058533     (  -9.16888618     ,  0.505031109     )
   511.803864     (  -9.21162033     ,  0.505831659     )
   512.549194     (  -9.26502037     ,  0.500702083     )
   513.294495     (  -9.31263065     ,  0.498559147     )
   514.039856     (  -9.34157944     ,  0.506043077     )
   514.785217     (  -9.37202454     ,  0.513786972     )
   515.530518     (  -9.41553593     ,  0.523800611     )
   516.275879     (  -9.45904732     ,  0.533814311     )
   517.021179     (  -9.48519516     ,  0.525960982     )
   517.766541     (  -9.51078224     ,  0.517530382     )
   518.511902     (  -9.54994774     ,  0.506266952     )
   519.257202     (  -9.59180355     ,  0.494442403     )
